text,questionText,questionType,label,answerMs
グループ,グループと一対一、どちらが好きですか？,paragraph,genuine_mid,5320
J-POP,よく聴く音楽やラジオはありますか？,paragraph,genuine_mid,14400
ある,人に感謝されたエピソードはありますか？,paragraph,genuine_mid,5256
進撃の巨人,読んでよかった本やマンガはありますか？,paragraph,genuine_high,12782
誠実に守る,締め切りにはどう向き合いますか？,paragraph,genuine_mid,6541
カバディ,初めての経験で印象的だったものは？,paragraph,genuine_mid,21914
いい高校に入れた,これまでのキャリアで満足していることは？,paragraph,genuine_high,10118
鳥胸肉,最近ハマった食べ物や飲み物はありますか？,paragraph,genuine_high,12470
レンチン,時短料理の工夫はありますか？,paragraph,genuine_mid,6631
覚えてません。,料理を覚えたきっかけは？,paragraph,low_effort,8305
7個くらい,目覚ましはいくつセットしますか？,paragraph,genuine_high,6202
オフライン,オンラインとオフライン、どちらが快適ですか？,paragraph,genuine_mid,3850
2-3時間,趣味の時間は週にどのくらいですか？,paragraph,genuine_mid,9998
ある,思い出の旅のエピソードはありますか？,paragraph,genuine_mid,7770
ある,季節ごとに訪れたい場所はありますか？,paragraph,low_effort,6855
ある,資格や検定に挑戦したことはありますか？,paragraph,low_effort,7107
楽天市場,ネット通販でよく使うサイトは？,paragraph,genuine_mid,5860
コーヒー。ブラック,コーヒー派ですか紅茶派ですか？こだわりも。,paragraph,genuine_high,9534
2,買い物は計画的なほうですか？,scale,,2976
5,新しいものを試すのは好きですか？,scale,,2164
たくさん喋ること,人と仲良くなるきっかけは何が多いですか？,paragraph,genuine_high,46161
卓球じゃないスポーツをやる,人生をやり直せるなら何を変えますか？,paragraph,genuine_high,26993
ラインで毎日,連絡を取り合う頻度や手段を教えてください。,paragraph,genuine_high,10720
何かしらする。,生活の中で「これは譲れない」ことはありますか？,paragraph,genuine_mid,20359
施しを受けてはつつしんで忘るることなかれ,座右の銘や好きな言葉はありますか？,paragraph,genuine_high,97853
7割,ネットの口コミをどこまで信じますか？,paragraph,genuine_high,7354
行かない,病院や検診には行きますか？,paragraph,low_effort,6178
不満があったから。より安いプランだから。,解約や乗り換えを決めた理由は？,paragraph,genuine_high,24246
なし,効率を上げるために使っているツールはありますか？,paragraph,low_effort,8676
"15分
上裸の時間がしばらくある",朝の準備にかかる時間と、短縮の工夫はありますか？,paragraph,genuine_high,37371
8時間,スマホを見る時間は1日どのくらいですか？,paragraph,genuine_mid,19621
